id,venda_id,produto_id,nome_produto,quantidade,preco_original,preco_vendido,desconto,bonus,subtotal,created_at,custo_unitario,kit_id,item_type
0322af18-0772-4784-95b4-c70111d44ee6,b353cafc-6b93-41a1-b5dc-88ce998033ac,d770f4a4-1cdd-44ab-b37c-b50b5b4215ce,Dream Curly - At. Cachos,1,60,60,0,false,60,2026-03-15T03:24:37.186574+00:00,32,,produto
2237e40d-cbc8-410a-9a69-8c02d169bd1c,fd93b0b3-90e4-41f2-b907-bef59ae0612a,7d91e638-7ce4-4fc5-ad43-22a4aac9b6d5,Defrizante 500ML,1,50,50,0,false,50,2026-03-15T03:26:16.672419+00:00,22,,produto
d584c3ee-412f-4dc3-886b-e791866e2df1,fd93b0b3-90e4-41f2-b907-bef59ae0612a,729754d1-6c91-4956-8e70-9acdee255936,Botox Bio Vegano 1KG,1,200,200,0,false,200,2026-03-15T03:26:16.672419+00:00,65,,produto
68384e72-1b07-496e-9d3f-c7c0e84de483,fd93b0b3-90e4-41f2-b907-bef59ae0612a,d3bdc39a-4199-4936-b462-7a6b87f0d220,Supreme Liss - Prog. Orgânica,1,300,300,0,false,300,2026-03-15T03:26:16.672419+00:00,80,,produto
4647ab52-ba3f-4998-88f5-b0d2af3927e0,fd93b0b3-90e4-41f2-b907-bef59ae0612a,14854fa5-61bc-4e40-99af-610c7e95fc75,Shine Parfum,1,30,30,0,false,30,2026-03-15T03:26:16.672419+00:00,18,,produto
5f134cb7-6015-43a6-a861-d9d0b620ea50,fd93b0b3-90e4-41f2-b907-bef59ae0612a,7dda8c61-2850-4ed5-873f-efd2f2e10e09,Ojon Repais 60 ML,1,40,40,5,false,35,2026-03-15T03:26:16.672419+00:00,21,,produto
4b2ddf71-00da-47bc-b2df-db3ee81807ff,c4d10401-2ec8-4b47-a0ad-467a9d5d0ddb,729754d1-6c91-4956-8e70-9acdee255936,Botox Bio Vegano 1KG,1,200,200,0,false,200,2026-03-15T03:27:25.292081+00:00,65,,produto
a90ff5a3-e400-445b-8259-749f4f9dc22a,c4d10401-2ec8-4b47-a0ad-467a9d5d0ddb,d3bdc39a-4199-4936-b462-7a6b87f0d220,Supreme Liss - Prog. Orgânica,1,300,300,0,false,300,2026-03-15T03:27:25.292081+00:00,80,,produto
0cc821ba-1cb1-4ff7-9c0a-e728d97b272c,c4d10401-2ec8-4b47-a0ad-467a9d5d0ddb,7dda8c61-2850-4ed5-873f-efd2f2e10e09,Ojon Repais 60 ML,1,40,40,5,false,35,2026-03-15T03:27:25.292081+00:00,21,,produto
c9d679cc-dc42-47d4-9f53-b7e3f31cb83e,c4d10401-2ec8-4b47-a0ad-467a9d5d0ddb,e8825e5c-d8b2-4c83-bc19-ba63bc6743d3,Serum Repair Macadâmia,4,30,30,20,false,100,2026-03-15T03:27:25.292081+00:00,15,,produto
fe7b07c9-167e-4417-870a-7995f966cb36,96d26b08-58ae-4c71-a6b1-f126e95334a6,4cf02afa-5f5c-4c35-aebe-009b762a5e65,Cronograma 4 Passos,2,120,120,40,false,200,2026-03-15T03:29:03.840079+00:00,65,,produto
e5653254-4bd8-48de-ba24-175bf9576e89,96d26b08-58ae-4c71-a6b1-f126e95334a6,7dda8c61-2850-4ed5-873f-efd2f2e10e09,Ojon Repais 60 ML,2,40,40,10,false,70,2026-03-15T03:29:03.840079+00:00,21,,produto
8a5cc536-424b-450a-a5a5-ad0ff5ab9772,6b84a089-4a47-4016-9fa2-3ca6dc8f487d,14854fa5-61bc-4e40-99af-610c7e95fc75,Shine Parfum,4,30,30,0,false,120,2026-03-15T03:29:53.63703+00:00,18,,produto
d7b9d135-e364-446e-aa04-4cca2294a7a4,6b84a089-4a47-4016-9fa2-3ca6dc8f487d,7d91e638-7ce4-4fc5-ad43-22a4aac9b6d5,Defrizante 500ML,2,50,50,0,false,100,2026-03-15T03:29:53.63703+00:00,22,,produto
43aafdf8-2674-4432-96b9-bfc280af845e,b3974d2a-767d-49ef-b989-6cd223769b88,729754d1-6c91-4956-8e70-9acdee255936,Botox Bio Vegano 1KG,1,200,200,0,false,200,2026-03-15T03:30:14.864708+00:00,65,,produto
44bfea3e-546c-4007-a8f6-f4f82ca3c356,79853d0e-d29c-4a78-8ab6-9ceec84d069a,729754d1-6c91-4956-8e70-9acdee255936,Botox Bio Vegano 1KG,2,200,200,0,false,400,2026-03-15T03:31:23.793988+00:00,65,,produto
8f6de5e8-7671-4768-b2ad-f1deac4cf152,79853d0e-d29c-4a78-8ab6-9ceec84d069a,7dda8c61-2850-4ed5-873f-efd2f2e10e09,Ojon Repais 60 ML,1,40,40,5,false,35,2026-03-15T03:31:23.793988+00:00,21,,produto
286ef1bd-dc7d-48aa-98ca-93df2cf19f56,6f5c5b30-3c62-4e57-a4b5-ea4d9387e4af,4cf02afa-5f5c-4c35-aebe-009b762a5e65,Cronograma 4 Passos,1,120,120,0,false,120,2026-03-15T03:33:02.305831+00:00,65,,produto
08aa7751-330c-4bf9-9517-66a6f09340ae,6f5c5b30-3c62-4e57-a4b5-ea4d9387e4af,95d635ee-30e7-4c5a-b8bc-77475fc3f472,Shampoo 5L Arginina + Keratina,1,100,100,10,false,90,2026-03-15T03:33:02.305831+00:00,50,,produto
f2117c26-0706-49d8-af9b-8b6cd95c711a,9c194b97-1dc6-4a37-a708-f1013c646eee,c2f9db98-c196-4eea-9d1a-b3a7f4b50718,Extreme cauterizze 4 passos 2 em 1,1,400,400,0,false,400,2026-03-15T03:33:59.595798+00:00,140,,produto
29302c2e-54d4-43db-9791-7fd4d56ac35a,9c194b97-1dc6-4a37-a708-f1013c646eee,7dda8c61-2850-4ed5-873f-efd2f2e10e09,Ojon Repais 60 ML,2,40,40,10,false,70,2026-03-15T03:33:59.595798+00:00,21,,produto
9c9d1106-d145-440b-8169-7700c41406fe,9c194b97-1dc6-4a37-a708-f1013c646eee,14854fa5-61bc-4e40-99af-610c7e95fc75,Shine Parfum,1,30,30,0,false,30,2026-03-15T03:33:59.595798+00:00,18,,produto
68864d78-94d5-4c65-b36d-32f0d3263580,b2549f32-5937-4c1f-85ca-af33aa510383,c2f9db98-c196-4eea-9d1a-b3a7f4b50718,Extreme cauterizze 4 passos 2 em 1,1,400,400,0,false,400,2026-03-15T03:35:36.92796+00:00,140,,produto
534d0c59-a014-4bde-92f3-97a5ccb4b2f3,b2549f32-5937-4c1f-85ca-af33aa510383,95d635ee-30e7-4c5a-b8bc-77475fc3f472,Shampoo 5L Arginina + Keratina,1,100,100,10,false,90,2026-03-15T03:35:36.92796+00:00,50,,produto
dfbdd6ef-8f1a-428d-8b37-5f15ba6bf877,b2549f32-5937-4c1f-85ca-af33aa510383,d3bdc39a-4199-4936-b462-7a6b87f0d220,Supreme Liss - Prog. Orgânica,1,300,300,0,false,300,2026-03-15T03:35:36.92796+00:00,80,,produto
